塋	茔
壼	壸
睞	睐
亂	乱
媽	妈
獁	犸
猻	狲
獅	狮
黽	黾
寜	宁
農	农
羥	羟
義	义
巰	巯
肅	肃
歲	岁
聖	圣
勢	势
竪	竖
鄔	邬
鄖	郧
鄒	邹
暘	旸
暈	晕
爺	爷
園	园
圓	圆
隕	陨
閘	闸
盞	盏
銨	铵
鉺	铒
銃	铳
銚	铫
銱	铞
銩	铥
鉻	铬
鉿	铪
鉸	铰
銬	铐
銠	铑
銘	铭
銓	铨
銣	铷
銫	铯
銅	铜
銑	铣
銜	衔
鉶	铏
銥	铱
銦	铟
銀	银
銪	铕
銖	铢
骯	肮
誒	诶
誠	诚
誕	诞
誥	诰
誨	诲
誡	诫
誑	诳
誚	诮
認	认
誦	诵
說	说
誣	诬
誤	误
誘	诱
語	语
爾	尔
嘔	呕
嗶	哔
嘗	尝
嘍	喽
嘜	唛
嘆	叹
嘖	啧
慪	怄
慚	惭
慘	惨
慣	惯
慳	悭
慶	庆
態	态
慟	恸
漚	沤
滻	浐
滌	涤
漢	汉
滸	浒
滬	沪
漸	渐
漣	涟
漊	溇
滷	卤
滿	满
滲	渗
滎	荥
漁	渔
漲	涨
滯	滞
漬	渍
飽	饱
餄	饸
餎	饹
飼	饲
飾	饰
餏	饻
飴	饴
綳	绷
綢	绸
綽	绰
緋	绯
綱	纲
綸	纶
緄	绲
緊	紧
綾	绫
綹	绺
綠	绿
綿	绵
綺	绮
綣	绻
綬	绶
綰	绾
網	网
維	维
綫	线
緒	绪
綜	综
綻	绽
緇	缁
綴	缀
賓	宾
賒	赊
賑	赈
駁	驳
摻	掺
摜	掼
摑	掴
摳	抠
摟	搂
摶	抟
摺	折
暢	畅
塵	尘
墊	垫
塹	堑
稱	称
種	种
碭	砀
碸	砜
碩	硕
遞	递
遜	逊
遠	远
對	对
奪	夺
奬	奖
奩	奁
罰	罚
閥	阀
閣	阁
閨	闺
閡	阂
閤	合
閩	闽
䦛	䦶
僨	偾
僥	侥
僕	仆
僑	侨
僞	伪
瘋	疯
瘍	疡
鳳	凤
鳴	鸣
鳶	鸢
韍	韨
輔	辅
輕	轻
輒	辄
趕	赶
趙	赵
構	构
榖	谷
榿	桤
槍	枪
榮	荣
幗	帼
幘	帻
劃	划
夥	伙
夢	梦
禍	祸
禕	祎
禎	祯
際	际
監	监
盡	尽
箋	笺
皸	皲
匱	匮
萊	莱
領	领
頗	颇
嶁	嵝
嶇	岖
嶄	崭
犖	荦
屢	屡
瑪	玛
瑲	玱
瑣	琐
麼	么
麽	么
齊	齐
戧	戗
熗	炝
熒	荧
寢	寝
實	实
廎	庼
颯	飒
颱	台
壽	寿
臺	台
圖	图
團	团
窪	洼
窩	窝
聞	闻
覡	觋
厭	厌
勩	勚
與	与
嫗	妪
獄	狱
殞	殒
製	制
皚	皑
鋨	锇
鋇	钡
銼	锉
鋤	锄
鋒	锋
鋯	锆
鋏	铗
鋦	锔
鋃	锒
鋰	锂
鋁	铝
鋩	铓
鋪	铺
鋟	锓
銳	锐
鋱	铽
銻	锑
鋌	铤
銷	销
鋅	锌
銹	锈
鋥	锃
噁	恶
嘸	呒
嘩	哗
嘰	叽
嘮	唠
噴	喷
噝	咝
嘵	哓
嘯	啸
餌	饵
餃	饺
餉	饷
養	养
歐	欧
毆	殴
罷	罢
罵	骂
鴇	鸨
鳾	䴓
鴉	鸦
鴆	鸩
輩	辈
輥	辊
輝	辉
輛	辆
輪	轮
輦	辇
輞	辋
輜	辎
幣	币
幟	帜
潷	滗
澗	涧
漿	浆
澆	浇
潔	洁
潰	溃
澇	涝
潑	泼
潤	润
潿	涠
潯	浔
潁	颍
編	编
締	缔
緞	缎
緱	缑
緩	缓
緝	缉
緘	缄
緙	缂
練	练
緬	缅
緲	缈
緡	缗
緦	缌
緹	缇
緯	纬
線	线
緗	缃
緣	缘
緻	致
標	标
樅	枞
槳	桨
樂	乐
樓	楼
槧	椠
樞	枢
樣	样
樁	桩
彆	别
彈	弹
撥	拨
撣	掸
撫	抚
擊	击
撟	挢
撈	捞
撓	挠
撲	扑
撳	揿
撏	挦
摯	挚
層	层
賜	赐
賧	赕
賦	赋
賡	赓
賫	赍
賤	贱
賚	赉
賣	卖
賠	赔
䝼	䞍
賞	赏
賢	贤
賬	账
質	质
賙	赒
嬋	婵
嫿	婳
嬌	娇
嬈	娆
嫵	妩
嫻	娴
諂	谄
調	调
誹	诽
課	课
諒	谅
論	论
請	请
誶	谇
誰	谁
諗	谂
談	谈
諉	诿
誼	谊
諏	诹
諍	诤
諄	谆
諑	诼
廠	厂
廢	废
廣	广
廟	庙
廡	庑
徹	彻
徵	征
齒	齿
衝	冲
衛	卫
䦟	䦷
閫	阃
閬	阆
閭	闾
閱	阅
瘡	疮
瘧	疟
瘞	瘗
鄲	郸
鄧	邓
鄰	邻
鄭	郑
憚	惮
憤	愤
憒	愦
憐	怜
慮	虑
憫	悯
慤	悫
慫	怂
憮	怃
憲	宪
憂	忧
導	导
敵	敌
數	数
墮	堕
墳	坟
墜	坠
髮	发
範	范
篋	箧
魴	鲂
魯	鲁
魷	鱿
膚	肤
膕	腘
膠	胶
膞	䏝
麩	麸
複	复
駙	驸
駕	驾
駒	驹
駑	驽
駟	驷
駛	驶
駘	骀
駝	驼
駔	驵
駐	驻
頜	颌
頡	颉
頦	颏
鞏	巩
颳	刮
劊	刽
劌	刿
劍	剑
劇	剧
劉	刘
葒	荭
葷	荤
蕒	荬
萬	万
葦	苇
萵	莴
葉	叶
翬	翚
價	价
儉	俭
儈	侩
儂	侬
儀	仪
億	亿
踐	践
嶠	峤
嶗	崂
嶔	嵚
嶢	峣
靚	靓
寬	宽
審	审
寫	写
厲	厉
璉	琏
瑩	莹
碼	码
確	确
磑	硙
鬧	闹
盤	盘
窮	穷
熱	热
毿	毵
殤	殇
蝕	蚀
蝸	蜗
蝦	虾
適	适
豎	竖
興	兴
暫	暂
皺	皱
錒	锕
錛	锛
錶	表
錯	错
錘	锤
鍀	锝
錠	锭
鋼	钢
錮	锢
錦	锦
鋸	锯
錁	锞
錕	锟
錸	铼
錄	录
鍆	钔
錳	锰
鍩	锘
錇	锫
錢	钱
錫	钖
鍁	锨
錚	铮
錙	锱
錐	锥
噯	嗳
噠	哒
噹	当
噸	吨
